Company,Ticker,Date,Segement,Call,Price
Zoetis (ZTS),ZTS,5/5/2016,Guest Interview ,Buy Recommendations ,48.24
Walgreens Boots Alliance (WBA),WBA,5/5/2016,Lightning Round ,Negative Mention ,81.46
Verizon (VZ),VZ,5/5/2016,Lightning Round ,Buy Recommendations ,50.84
Vonage Holdings (VG),VG,5/5/2016,Lightning Round ,Sell Recommendations ,4.11
Tesla (TSLA),TSLA,5/5/2016,Discussed Stock,Negative Mention ,211.53
Molson Coors (TAP),TAP,5/5/2016,Featured Stock,Buy Recommendations ,98.47
Constellation Brands (STZ),STZ,5/5/2016,Featured Stock,Buy Recommendations ,159.19
Boston Beer (SAM),SAM,5/5/2016,Featured Stock,Sell Recommendations ,154.44
Southwest Airlines (LUV),LUV,5/5/2016,Lightning Round ,Buy Recommendations ,41.53
Cheniere Energy (LNG),LNG,5/5/2016,Lightning Round ,Sell Recommendations ,36.11
L Brands (LB),LB,5/5/2016,Discussed Stock,Negative Mention ,70.53
Kraft Heinz (KHC),KHC,5/5/2016,Discussed Stock,Buy Recommendations ,82.97
General Electric (GE),GE,5/5/2016,Lightning Round ,Buy Recommendations ,29.89
Fitbit (FIT),FIT,5/5/2016,Discussed Stock,Negative Mention ,13.88
Enterprise Products Partn (EPD),EPD,5/5/2016,Lightning Round ,Negative Mention ,25.65
Delta Air Lines (DAL),DAL,5/5/2016,Lightning Round ,Sell Recommendations ,41.75
CVR Refining (CVRR),CVRR,5/5/2016,Lightning Round ,Sell Recommendations ,10.68
Chubb (CB),CB,5/5/2016,Discussed Stock,Positive Mention ,122.46
Anheuser-Busch InBev (BUD),BUD,5/5/2016,Featured Stock,Positive Mention ,125.21
Allstate (ALL),ALL,5/5/2016,Discussed Stock,Positive Mention ,67.87
Apple (AAPL),AAPL,5/5/2016,Discussed Stock,Buy Recommendations ,93.24
Alcoa (AA),AA,5/5/2016,Lightning Round ,Buy Recommendations ,10.02
Wynn Resorts (WYNN),WYNN,5/6/2016,Discussed Stock,Positive Mention ,91.21
Wendy's (WEN),WEN,5/6/2016,Discussed Stock,Negative Mention ,10.97
Wayfair (W),W,5/6/2016,Discussed Stock,Positive Mention ,35.99
Verizon (VZ),VZ,5/6/2016,Lightning Round ,Buy Recommendations ,51.12
TrustCo Bank (TRST),TRST,5/6/2016,Lightning Round ,Negative Mention ,6.35
T-Mobile US (TMUS),TMUS,5/6/2016,Lightning Round ,Buy Recommendations ,39.49
Teva Pharmaceuticals (TEVA),TEVA,5/6/2016,Discussed Stock,Negative Mention ,50.27
Skyworks Solutions (SWKS),SWKS,5/6/2016,Lightning Round ,Sell Recommendations ,64.63
Sprint (S),S,5/6/2016,Lightning Round ,Negative Mention ,3.54
Ralph Lauren (RL),RL,5/6/2016,Discussed Stock,Negative Mention ,90.11
Quintiles Transnational (Q),Q,5/6/2016,Guest Interview ,Buy Recommendations ,65.96
Perrigo (PRGO),PRGO,5/6/2016,Discussed Stock,Negative Mention ,92.39
NXP Semiconductors (NXPI),NXPI,5/6/2016,Lightning Round ,Buy Recommendations ,85.36
Norwegian Cruise Line (NCLH),NCLH,5/6/2016,Discussed Stock,Negative Mention ,48.89
Martin Marietta Materials (MLM),MLM,5/6/2016,Guest Interview ,Buy Recommendations ,177.91
McDonald's (MCD),MCD,5/6/2016,Discussed Stock,Positive Mention ,130.58
Macy's (M),M,5/6/2016,Discussed Stock,Negative Mention ,37.65
Kohl's (KSS),KSS,5/6/2016,Discussed Stock,Negative Mention ,41.37
Nordstrom (JWN),JWN,5/6/2016,Discussed Stock,Negative Mention ,48.06
JC Penney (JCP),JCP,5/6/2016,Discussed Stock,Sell Recommendations ,8.26
Jack in the Box (JACK),JACK,5/6/2016,Discussed Stock,Negative Mention ,68.48
Horizon Pharmaceuticals (HZNP),HZNP,5/6/2016,Discussed Stock,Negative Mention ,13.41
Honda Motor (HMC),HMC,5/6/2016,Discussed Stock,Negative Mention ,27.43
General Motors (GM),GM,5/6/2016,Discussed Stock,Positive Mention ,30.96
FedEx (FDX),FDX,5/6/2016,Lightning Round ,Negative Mention ,161.03
Ford Motor (F),F,5/6/2016,Discussed Stock,Positive Mention ,13.44
Walt Disney (DIS),DIS,5/6/2016,Discussed Stock,Buy Recommendations ,105.54
