Company,Ticker,Date,Segement,Call,Price
Boeing (BA),BA,5/6/2016,Discussed Stock,Buy Recommendations ,133.26
Ameriprise Financial (AMP),AMP,5/6/2016,Lightning Round ,Buy Recommendations ,93.25
Allergan (AGN),AGN,5/6/2016,Discussed Stock,Negative Mention ,201.65
Amerisourcebergen (ABC),ABC,5/6/2016,Featured Stock,Sell Recommendations ,76.52
Valeant Pharmaceuticals (VRX),VRX,5/9/2016,Guest Interview ,Hold or Neutral ,28.07
Thermo Fisher Scientific (TMO),TMO,5/9/2016,Lightning Round ,Buy Recommendations ,147.46
Simon Property Group (SPG),SPG,5/9/2016,Featured Stock,Buy Recommendations ,213.04
Praxair (PX),PX,5/9/2016,Lightning Round ,Buy Recommendations ,113.03
Oracle (ORCL),ORCL,5/9/2016,Lightning Round ,Buy Recommendations ,39.36
Kimco Realty (KIM),KIM,5/9/2016,Featured Stock,Buy Recommendations ,29.66
Illumina (ILMN),ILMN,5/9/2016,Lightning Round ,Sell Recommendations ,141.76
Integrated Device Technol (IDTI),IDTI,5/9/2016,Guest Interview ,Buy Recommendations ,20.36
Harman International (HAR),HAR,5/9/2016,Lightning Round ,Hold or Neutral ,73.3
Federal Realty Investment (FRT),FRT,5/9/2016,Discussed Stock,Buy Recommendations ,159.46
Freeport-McMoRan (FCX),FCX,5/9/2016,Discussed Stock,Negative Mention ,10.52
Denbury Resources (DNR),DNR,5/9/2016,Lightning Round ,Sell Recommendations ,3.52
DepoMed (DEPO),DEPO,5/9/2016,Lightning Round ,Negative Mention ,17.85
Salesforce.com (CRM),CRM,5/9/2016,Lightning Round ,Buy Recommendations ,74.62
Allergan (AGN),AGN,5/9/2016,Discussed Stock,Positive Mention ,213.71
Xerox (XRX),XRX,5/10/2016,Lightning Round ,Buy Recommendations ,9.5
Workday (WDAY),WDAY,5/10/2016,Lightning Round ,Buy Recommendations ,72.61
Ventas (VTR),VTR,5/10/2016,Lightning Round ,Buy Recommendations ,66.9
Pepsico (PEP),PEP,5/10/2016,Discussed Stock,Buy Recommendations ,106.57
PG&E (PCG),PCG,5/10/2016,Lightning Round ,Buy Recommendations ,59.25
Netflix (NFLX),NFLX,5/10/2016,Featured Stock,Buy Recommendations ,92.89
3M (MMM),MMM,5/10/2016,Discussed Stock,Buy Recommendations ,170.26
MFA Financial (MFA),MFA,5/10/2016,Lightning Round ,Sell Recommendations ,7.12
McDonald's (MCD),MCD,5/10/2016,Discussed Stock,Buy Recommendations ,131.6
Johnson & Johnson (JNJ),JNJ,5/10/2016,Discussed Stock,Buy Recommendations ,114.67
iRobot (IRBT),IRBT,5/10/2016,Lightning Round ,Buy Recommendations ,37.94
Honeywell (HON),HON,5/10/2016,Discussed Stock,Buy Recommendations ,114.94
Home Depot (HD),HD,5/10/2016,Lightning Round ,Buy Recommendations ,137.51
Hasbro (HAS),HAS,5/10/2016,Guest Interview ,Buy Recommendations ,86.33
Alphabet (GOOGL),GOOGL,5/10/2016,Featured Stock,Buy Recommendations ,739.38
Barrick Gold (GOLD),GOLD,5/10/2016,Guest Interview ,Buy Recommendations ,87.4
Fortinet (FTNT),FTNT,5/10/2016,Guest Interview ,Buy Recommendations ,32.77
Federal Realty Investment (FRT),FRT,5/10/2016,Discussed Stock,Buy Recommendations ,158.98
Facebook (FB),FB,5/10/2016,Featured Stock,Buy Recommendations ,120.5
CenturyLink (CTL),CTL,5/10/2016,Lightning Round ,Sell Recommendations ,28.73
Campbell Soup (CPB),CPB,5/10/2016,Discussed Stock,Buy Recommendations ,65.43
Clorox (CLX),CLX,5/10/2016,Discussed Stock,Buy Recommendations ,132.84
B&G Foods (BGS),BGS,5/10/2016,Lightning Round ,Buy Recommendations ,43.62
Avon Products (AVP),AVP,5/10/2016,Lightning Round ,Negative Mention ,4.32
Amazon (AMZN),AMZN,5/10/2016,Featured Stock,Buy Recommendations ,703.07
Accenture (ACN),ACN,5/10/2016,Discussed Stock,Buy Recommendations ,116.94
TravelCenters of America (TA),TA,5/11/2016,Lightning Round ,Negative Mention ,7.74
Seagate Technology (STX),STX,5/11/2016,Lightning Round ,Sell Recommendations ,18.72
Shutterstock (SSTK),SSTK,5/11/2016,Guest Interview ,Buy Recommendations ,40.41
Staples (SPLS),SPLS,5/11/2016,Discussed Stock,Sell Recommendations ,8.46
RPM International (RPM),RPM,5/11/2016,Discussed Stock,Buy Recommendations ,50.47
Rockwell Automation (ROK),ROK,5/11/2016,Discussed Stock,Buy Recommendations ,113.92
Panera Bread (PNRA),PNRA,5/11/2016,Lightning Round ,Buy Recommendations ,210.66
Parker Hannifin (PH),PH,5/11/2016,Discussed Stock,Buy Recommendations ,112.86
Office Depot (ODP),ODP,5/11/2016,Discussed Stock,Sell Recommendations ,3.63
Mitek Systems (MITK),MITK,5/11/2016,Lightning Round ,Buy Recommendations ,8.47
Medtronic (MDT),MDT,5/11/2016,Lightning Round ,Buy Recommendations ,81.11
Main Street Capital (MAIN),MAIN,5/11/2016,Lightning Round ,Sell Recommendations ,31.91
Mastercard (MA),MA,5/11/2016,Lightning Round ,Buy Recommendations ,96.41
Macy's (M),M,5/11/2016,Discussed Stock,Sell Recommendations ,31.38
International Flavors and (IFF),IFF,5/11/2016,Guest Interview ,Buy Recommendations ,123.62
Hasbro (HAS),HAS,5/11/2016,Discussed Stock,Buy Recommendations ,84.5
Electronic Arts (EA),EA,5/11/2016,Discussed Stock,Buy Recommendations ,73.38
Walt Disney (DIS),DIS,5/11/2016,Featured Stock,Buy Recommendations ,102.29
Carlisle (CSL),CSL,5/11/2016,Discussed Stock,Buy Recommendations ,102.61
AptarGroup (ATR),ATR,5/11/2016,Discussed Stock,Buy Recommendations ,76.83
Albemarle (ALB),ALB,5/11/2016,Discussed Stock,Buy Recommendations ,74.65
Acadia Pharmaceuticals (ACAD),ACAD,5/11/2016,Lightning Round ,Negative Mention ,28.49
AbbVie (ABBV),ABBV,5/11/2016,Lightning Round ,Buy Recommendations ,62.7
Apple (AAPL),AAPL,5/11/2016,Featured Stock,Buy Recommendations ,92.51
Yum! Brands (YUM),YUM,5/12/2016,Discussed Stock,Positive Mention ,81.57
Whole Foods Markets (WFM),WFM,5/12/2016,Featured Stock,Negative Mention ,30.51
Ulta Beauty (ULTA),ULTA,5/12/2016,Discussed Stock,Buy Recommendations ,207.43
Stericycle (SRCL),SRCL,5/12/2016,Featured Stock,Sell Recommendations ,93.27
Sprouts Farmers Market (SFM),SFM,5/12/2016,Featured Stock,Negative Mention ,26.07
Public Storage (PSA),PSA,5/12/2016,Lightning Round ,Buy Recommendations ,264.69
Match Group (MTCH),MTCH,5/12/2016,Lightning Round ,Buy Recommendations ,14.55
Monsanto (MON),MON,5/12/2016,Discussed Stock,Positive Mention ,97.92
McDonald's (MCD),MCD,5/12/2016,Discussed Stock,Positive Mention ,130.12
Mobileye (MBLY),MBLY,5/12/2016,Lightning Round ,Negative Mention ,36.66
Macy's (M),M,5/12/2016,Featured Stock,Sell Recommendations ,31.21
LogMeIn (LOGM),LOGM,5/12/2016,Lightning Round ,Sell Recommendations ,58.71
Kohl's (KSS),KSS,5/12/2016,Featured Stock,Sell Recommendations ,35.15
Kellogg (K),K,5/12/2016,Discussed Stock,Positive Mention ,77.31
Nordstrom (JWN),JWN,5/12/2016,Featured Stock,Sell Recommendations ,45.23
Jack in the Box (JACK),JACK,5/12/2016,Discussed Stock,Positive Mention ,75.02
Home Depot (HD),HD,5/12/2016,Discussed Stock,Buy Recommendations ,134.19
Fiserv (FISV),FISV,5/12/2016,Lightning Round ,Buy Recommendations ,105.24
Darden Restaurants (DRI),DRI,5/12/2016,Discussed Stock,Positive Mention ,63.81
Domino's Pizza (DPZ),DPZ,5/12/2016,Discussed Stock,Positive Mention ,121.46
Broadcom (AVGO),AVGO,5/12/2016,Lightning Round ,Buy Recommendations ,141.04
Amazon (AMZN),AMZN,5/12/2016,Discussed Stock,Positive Mention ,717.93
Apple (AAPL),AAPL,5/12/2016,Discussed Stock,Negative Mention ,90.34
Walmart (WMT),WMT,5/13/2016,Discussed Stock,Negative Mention ,65
TJX Companies (TJX),TJX,5/13/2016,Discussed Stock,Hold or Neutral ,72.89
Target (TGT),TGT,5/13/2016,Discussed Stock,Buy Recommendations ,74.1
Nike (NKE),NKE,5/13/2016,Discussed Stock,Positive Mention ,57.51
Lowe's (LOW),LOW,5/13/2016,Discussed Stock,Positive Mention ,75.29
L Brands (LB),LB,5/13/2016,Discussed Stock,Positive Mention ,66.9
Home Depot (HD),HD,5/13/2016,Discussed Stock,Buy Recommendations ,133.41
Dicks Sporting Goods (DKS),DKS,5/13/2016,Discussed Stock,Positive Mention ,40.81
Deere & Company (DE),DE,5/13/2016,Discussed Stock,Positive Mention ,82.43
Cisco Systems (CSCO),CSCO,5/13/2016,Discussed Stock,Positive Mention ,26.52
Salesforce.com (CRM),CRM,5/13/2016,Discussed Stock,Positive Mention ,76.39
Campbell Soup (CPB),CPB,5/13/2016,Discussed Stock,Positive Mention ,65.95
Amazon (AMZN),AMZN,5/13/2016,Discussed Stock,Positive Mention ,710.93
AGCO (AGCO),AGCO,5/13/2016,Discussed Stock,Buy Recommendations ,51.45
Agilent Technologies (A),A,5/13/2016,Discussed Stock,Buy Recommendations ,42.49
Zoe's Kitchen (ZOES),ZOES,5/16/2016,Lightning Round ,Buy Recommendations ,37.35
Exxon Mobil (XOM),XOM,5/16/2016,Discussed Stock,Positive Mention ,89.57
Walmart (WMT),WMT,5/16/2016,Discussed Stock,Sell Recommendations ,66.02
Verizon (VZ),VZ,5/16/2016,Discussed Stock,Positive Mention ,51.23
Visa (V),V,5/16/2016,Discussed Stock,Positive Mention ,77.8
United Technologies (UTX),UTX,5/16/2016,Discussed Stock,Positive Mention ,101.82
UnitedHealth Group (UNH),UNH,5/16/2016,Discussed Stock,Positive Mention ,130.64
Travelers Companies (TRV),TRV,5/16/2016,Discussed Stock,Buy Recommendations ,112.24
SBA Communications (SBAC),SBAC,5/16/2016,Featured Stock,Positive Mention ,99.89
Procter & Gamble (PG),PG,5/16/2016,Discussed Stock,Positive Mention ,81.63
Palo Alto Networks (PANW),PANW,5/16/2016,Lightning Round ,Buy Recommendations ,134.74
Occidental Petroleum (OXY),OXY,5/16/2016,Lightning Round ,Buy Recommendations ,76.53
Nike (NKE),NKE,5/16/2016,Discussed Stock,Negative Mention ,57.14
Merck (MRK),MRK,5/16/2016,Discussed Stock,Sell Recommendations ,54.65
Mallinckrodt (MNK),MNK,5/16/2016,Lightning Round ,Sell Recommendations ,59.74
3M (MMM),MMM,5/16/2016,Discussed Stock,Positive Mention ,169.55
MGM Growth Properties (MGP),MGP,5/16/2016,Featured Stock,Buy Recommendations ,22.99
MGM Resorts (MGM),MGM,5/16/2016,Guest Interview ,Buy Recommendations ,22.08
McDonald's (MCD),MCD,5/16/2016,Discussed Stock,Buy Recommendations ,129.64
Coca-Cola (KO),KO,5/16/2016,Discussed Stock,Negative Mention ,45.62
Kinder Morgan (KMI),KMI,5/16/2016,Lightning Round ,Buy Recommendations ,17.22
JPMorgan Chase (JPM),JPM,5/16/2016,Discussed Stock,Negative Mention ,61.66
Johnson & Johnson (JNJ),JNJ,5/16/2016,Discussed Stock,Buy Recommendations ,114.44
Intel (INTC),INTC,5/16/2016,Discussed Stock,Negative Mention ,30.39
IBM (IBM),IBM,5/16/2016,Discussed Stock,Positive Mention ,149.46
Home Depot (HD),HD,5/16/2016,Discussed Stock,Positive Mention ,135.34
Goldman Sachs (GS),GS,5/16/2016,Discussed Stock,Negative Mention ,155.38
General Electric (GE),GE,5/16/2016,Discussed Stock,Buy Recommendations ,29.96
EOG Resources (EOG),EOG,5/16/2016,Lightning Round ,Positive Mention ,80.69
Devon Energy (DVN),DVN,5/16/2016,Lightning Round ,Negative Mention ,33.79
Walt Disney (DIS),DIS,5/16/2016,Discussed Stock,Buy Recommendations ,100.36
DuPont (DD),DD,5/16/2016,Discussed Stock,Buy Recommendations ,64.34
Chevron (CVX),CVX,5/16/2016,Discussed Stock,Positive Mention ,102.29
Cisco Systems (CSCO),CSCO,5/16/2016,Discussed Stock,Buy Recommendations ,26.97
Celgene (CELG),CELG,5/16/2016,Lightning Round ,Positive Mention ,101.57
Crown Castle (CCI),CCI,5/16/2016,Featured Stock,Positive Mention ,90.35
Caterpillar (CAT),CAT,5/16/2016,Discussed Stock,Positive Mention ,70.7
Boeing (BA),BA,5/16/2016,Discussed Stock,Negative Mention ,134.14
American Express (AXP),AXP,5/16/2016,Discussed Stock,Positive Mention ,64.07
American Tower (AMT),AMT,5/16/2016,Featured Stock,Buy Recommendations ,106.48
Apple (AAPL),AAPL,5/16/2016,Featured Stock,Negative Mention ,93.88
Zoetis (ZTS),ZTS,5/17/2016,Discussed Stock,Buy Recommendations ,46.5
VCA (WOOF),WOOF,5/17/2016,Discussed Stock,Buy Recommendations ,64.38
LendingTree (TREE),TREE,5/17/2016,Lightning Round ,Negative Mention ,67.4
TJX Companies (TJX),TJX,5/17/2016,Discussed Stock,Buy Recommendations ,75.59
Treehouse Foods (THS),THS,5/17/2016,Featured Stock,Buy Recommendations ,91.17
PetMed Express (PETS),PETS,5/17/2016,Discussed Stock,Buy Recommendations ,18.42
Idexx Laboratories (IDXX),IDXX,5/17/2016,Discussed Stock,Buy Recommendations ,87.23
Home Depot (HD),HD,5/17/2016,Discussed Stock,Buy Recommendations ,132
Blackhawk Network (HAWK),HAWK,5/17/2016,Lightning Round ,Negative Mention ,31.73
Gilead Sciences (GILD),GILD,5/17/2016,Lightning Round ,Positive Mention ,82.76
Freshpet (FRPT),FRPT,5/17/2016,Discussed Stock,Positive Mention ,8.86
Clorox (CLX),CLX,5/17/2016,Featured Stock,Negative Mention ,129.43
Blue Buffalo Pet Products (BUFF),BUFF,5/17/2016,Discussed Stock,Buy Recommendations ,25.89
Baxter International (BAX),BAX,5/17/2016,Featured Stock,Buy Recommendations ,44.6
Amazon (AMZN),AMZN,5/17/2016,Discussed Stock,Positive Mention ,695.27
Advanced Micro Devices (AMD),AMD,5/17/2016,Lightning Round ,Negative Mention ,3.79
Zillow (Z),Z,5/18/2016,Guest Interview ,Buy Recommendations ,28.78
Ulta Beauty (ULTA),ULTA,5/18/2016,Discussed Stock,Buy Recommendations ,206.45
Tesla (TSLA),TSLA,5/18/2016,Discussed Stock,Buy Recommendations ,211.17
Target (TGT),TGT,5/18/2016,Discussed Stock,Negative Mention ,68
NXP Semiconductors (NXPI),NXPI,5/18/2016,Lightning Round ,Buy Recommendations ,87.03
Lowe's (LOW),LOW,5/18/2016,Discussed Stock,Buy Recommendations ,78.6
JPMorgan Chase (JPM),JPM,5/18/2016,Discussed Stock,Buy Recommendations ,64.04
Integrated Device Technol (IDTI),IDTI,5/18/2016,Lightning Round ,Positive Mention ,21.29
Corning (GLW),GLW,5/18/2016,Lightning Round ,Sell Recommendations ,18.98
Edwards Lifesciences (EW),EW,5/18/2016,Lightning Round ,Buy Recommendations ,99.79
CyberArk Software (CYBR),CYBR,5/18/2016,Guest Interview ,Buy Recommendations ,41.48
Salesforce.com (CRM),CRM,5/18/2016,Guest Interview ,Buy Recommendations ,77.87
Chipotle Mexican Grill (CMG),CMG,5/18/2016,Lightning Round ,Buy Recommendations ,448.61
Amazon (AMZN),AMZN,5/18/2016,Discussed Stock,Buy Recommendations ,697.45
Allergan (AGN),AGN,5/18/2016,Discussed Stock,Buy Recommendations ,229.25
Walmart (WMT),WMT,5/19/2016,Featured Stock,Buy Recommendations ,69.2
UBS (UBS),UBS,5/19/2016,Lightning Round ,Sell Recommendations ,14.76
Take-Two Interactive (TTWO),TTWO,5/19/2016,Guest Interview ,Buy Recommendations ,37.29
Range Resources (RRC),RRC,5/19/2016,Discussed Stock,Positive Mention ,39.95
Relypsa (RLYP),RLYP,5/19/2016,Lightning Round ,Negative Mention ,14.14
Monsanto (MON),MON,5/19/2016,Discussed Stock,Positive Mention ,100.55
Dicks Sporting Goods (DKS),DKS,5/19/2016,Discussed Stock,Buy Recommendations ,41.36
DineEquity (DIN),DIN,5/19/2016,Guest Interview ,Buy Recommendations ,80.97
Cisco Systems (CSCO),CSCO,5/19/2016,Discussed Stock,Buy Recommendations ,27.57
Carrizo Oil & Gas (CRZO),CRZO,5/19/2016,Lightning Round ,Buy Recommendations ,36.83
Carnival (CCL),CCL,5/19/2016,Lightning Round ,Positive Mention ,49.55
Williams-Sonoma (WSM),WSM,5/20/2016,Discussed Stock,Negative Mention ,50.08
Whole Foods Markets (WFM),WFM,5/20/2016,Lightning Round ,Buy Recommendations ,31.52
Ulta Beauty (ULTA),ULTA,5/20/2016,Discussed Stock,Buy Recommendations ,208.47
LendingTree (TREE),TREE,5/20/2016,Guest Interview ,Buy Recommendations ,69.04
Toll Brothers (TOL),TOL,5/20/2016,Discussed Stock,Sell Recommendations ,27.57
Tiffany & Co (TIF),TIF,5/20/2016,Discussed Stock,Sell Recommendations ,64.67
Schlumberger (SLB),SLB,5/20/2016,Lightning Round ,Buy Recommendations ,74.96
Shake Shack (SHAK),SHAK,5/20/2016,Lightning Round ,Negative Mention ,34.99
SeaDrill Limited (SDRL),SDRL,5/20/2016,Lightning Round ,Sell Recommendations ,3.2
PVH Corp (PVH),PVH,5/20/2016,Discussed Stock,Negative Mention ,88.96
Palo Alto Networks (PANW),PANW,5/20/2016,Discussed Stock,Positive Mention ,141.76
Manitowoc (MTW),MTW,5/20/2016,Lightning Round ,Buy Recommendations ,5.46
MSCI (MSCI),MSCI,5/20/2016,Featured Stock,Buy Recommendations ,75.99
LendingClub (LC),LC,5/20/2016,Discussed Stock,Negative Mention ,3.99
Intuit (INTU),INTU,5/20/2016,Discussed Stock,Buy Recommendations ,103.03
Hormel Foods (HRL),HRL,5/20/2016,Guest Interview ,Buy Recommendations ,34.86
First Solar (FSLR),FSLR,5/20/2016,Lightning Round ,Buy Recommendations ,48.02
FedEx (FDX),FDX,5/20/2016,Lightning Round ,Buy Recommendations ,161.63
Dollar Tree (DLTR),DLTR,5/20/2016,Discussed Stock,Negative Mention ,76.89
Dollar General (DG),DG,5/20/2016,Discussed Stock,Negative Mention ,81.62
Costco (COST),COST,5/20/2016,Discussed Stock,Buy Recommendations ,142.69
Burlington Stores (BURL),BURL,5/20/2016,Discussed Stock,Negative Mention ,54.06
Best Buy (BBY),BBY,5/20/2016,Discussed Stock,Sell Recommendations ,32.34
AutoZone (AZO),AZO,5/20/2016,Discussed Stock,Buy Recommendations ,761.56
Air Transport Services (ATSG),ATSG,5/20/2016,Lightning Round ,Sell Recommendations ,12.72
Zimmer Biomet (ZBH),ZBH,5/23/2016,Discussed Stock,Buy Recommendations ,119.43
Walgreens Boots Alliance (WBA),WBA,5/23/2016,Lightning Round ,Buy Recommendations ,76.53
Stryker (SYK),SYK,5/23/2016,Discussed Stock,Buy Recommendations ,110.27
Square (SQ),SQ,5/23/2016,Lightning Round ,Sell Recommendations ,9.46
Sallie Mae (SLM),SLM,5/23/2016,Discussed Stock,Negative Mention ,6.19
Schlumberger (SLB),SLB,5/23/2016,Discussed Stock,Buy Recommendations ,75.01
Ship Finance Internationa (SFL),SFL,5/23/2016,Discussed Stock,Negative Mention ,15.37
Starbucks (SBUX),SBUX,5/23/2016,Lightning Round ,Buy Recommendations ,54.6
Rite Aid (RAD),RAD,5/23/2016,Lightning Round ,Sell Recommendations ,7.67
Pepsico (PEP),PEP,5/23/2016,Discussed Stock,Buy Recommendations ,100.42
Oracle (ORCL),ORCL,5/23/2016,Discussed Stock,Sell Recommendations ,39.18
NRG Energy (NRG),NRG,5/23/2016,Discussed Stock,Buy Recommendations ,15.9
Nordic American Tanker (NAT),NAT,5/23/2016,Discussed Stock,Buy Recommendations ,13.99
Microsoft (MSFT),MSFT,5/23/2016,Discussed Stock,Negative Mention ,50.03
3M (MMM),MMM,5/23/2016,Discussed Stock,Buy Recommendations ,166.11
Mednax (MD),MD,5/23/2016,Discussed Stock,Negative Mention ,66.93
McDonald's (MCD),MCD,5/23/2016,Discussed Stock,Buy Recommendations ,122.81
La Jolla Pharmaceutical (LJPC),LJPC,5/23/2016,Discussed Stock,Negative Mention ,15.9
Kimberly-Clark (KMB),KMB,5/23/2016,Discussed Stock,Buy Recommendations ,125.95
Helmerich & Payne (HP),HP,5/23/2016,Discussed Stock,Sell Recommendations ,58.26
Hannon Armstrong (HASI),HASI,5/23/2016,Discussed Stock,Positive Mention ,19.88
Alphabet (GOOGL),GOOGL,5/23/2016,Discussed Stock,Positive Mention ,717.25
Federal Realty Investment (FRT),FRT,5/23/2016,Lightning Round ,Buy Recommendations ,151.58
FMC Corp (FMC),FMC,5/23/2016,Discussed Stock,Buy Recommendations ,47.44
Flowserve (FLS),FLS,5/23/2016,Discussed Stock,Buy Recommendations ,45.91
Edwards Lifesciences (EW),EW,5/23/2016,Discussed Stock,Buy Recommendations ,100.02
Estee Lauder (EL),EL,5/23/2016,Discussed Stock,Buy Recommendations ,90.73
CVS Health (CVS),CVS,5/23/2016,Lightning Round ,Buy Recommendations ,98.07
Cisco Systems (CSCO),CSCO,5/23/2016,Discussed Stock,Buy Recommendations ,27.94
Boston Scientific (BSX),BSX,5/23/2016,Discussed Stock,Buy Recommendations ,22.36
Brixmor Property Group (BRX),BRX,5/23/2016,Lightning Round ,Sell Recommendations ,24.61
Franklin Resources (BEN),BEN,5/23/2016,Discussed Stock,Positive Mention ,35.67
Beacon Roofing Supply (BECN),BECN,5/23/2016,Lightning Round ,Buy Recommendations ,42.17
CR Bard (BCR),BCR,5/23/2016,Discussed Stock,Buy Recommendations ,220.18
Apple Hospitality REIT (APLE),APLE,5/23/2016,Lightning Round ,Sell Recommendations ,18.19
AbbVie (ABBV),ABBV,5/23/2016,Lightning Round ,Buy Recommendations ,59.3
Apple (AAPL),AAPL,5/23/2016,Discussed Stock,Buy Recommendations ,96.43
Exxon Mobil (XOM),XOM,5/24/2016,Discussed Stock,Sell Recommendations ,89.67
Under Armour (UA),UA,5/24/2016,Discussed Stock,Negative Mention ,38.22
Toll Brothers (TOL),TOL,5/24/2016,Discussed Stock,Positive Mention ,29.46
Thermo Fisher Scientific (TMO),TMO,5/24/2016,Guest Interview ,Buy Recommendations ,150.68
Taser International (TASR),TASR,5/24/2016,Lightning Round ,Buy Recommendations ,21.86
Smith & Wesson (SWHC),SWHC,5/24/2016,Lightning Round ,Buy Recommendations ,23.8
Sarepta Therapeutics (SRPT),SRPT,5/24/2016,Lightning Round ,Negative Mention ,18.44
Schlumberger (SLB),SLB,5/24/2016,Discussed Stock,Sell Recommendations ,75.62
Qualcomm (QCOM),QCOM,5/24/2016,Discussed Stock,Buy Recommendations ,55.59
Pioneer Natural Resources (PXD),PXD,5/24/2016,Discussed Stock,Sell Recommendations ,162.97
NXP Semiconductors (NXPI),NXPI,5/24/2016,Discussed Stock,Buy Recommendations ,91.58
NVIDIA (NVDA),NVDA,5/24/2016,Lightning Round ,Positive Mention ,45.36
Nike (NKE),NKE,5/24/2016,Discussed Stock,Negative Mention ,56.59
Nordic American Tanker (NAT),NAT,5/24/2016,Lightning Round ,Buy Recommendations ,14.44
Monsanto (MON),MON,5/24/2016,Discussed Stock,Positive Mention ,109.3
Medivation (MDVN),MDVN,5/24/2016,Lightning Round ,Buy Recommendations ,61.91
Foot Locker (FL),FL,5/24/2016,Discussed Stock,Negative Mention ,54.11
Delta Air Lines (DAL),DAL,5/24/2016,Lightning Round ,Buy Recommendations ,43.63
Chevron (CVX),CVX,5/24/2016,Discussed Stock,Sell Recommendations ,100.19
Cisco Systems (CSCO),CSCO,5/24/2016,Discussed Stock,Buy Recommendations ,28.47
Communications Sales & Le (CSAL),CSAL,5/24/2016,Lightning Round ,Negative Mention ,24.39
CONSOL Energy (CNX),CNX,5/24/2016,Featured Stock,Sell Recommendations ,13.99
Costamare (CMRE),CMRE,5/24/2016,Lightning Round ,Sell Recommendations ,9.18
Applied Materials (AMAT),AMAT,5/24/2016,Discussed Stock,Positive Mention ,23.49
Alexion Pharmaceuticals (ALXN),ALXN,5/24/2016,Lightning Round ,Positive Mention ,146.67
